epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1023.55,1.48497,0.77034,1.17608,0.67238,0.3465,0.36909,0.18649,1.55397,1.94507,1.2094,0.0700118,0.00333202,0.00333202
2,1992.53,1.38255,0.67653,1.12361,0.53331,0.4622,0.39393,0.20872,1.47438,2.0481,1.15814,0.039352,0.00600548,0.00600548
3,2958.1,1.33831,0.64517,1.09773,0.53106,0.46396,0.42065,0.22882,1.41405,1.98739,1.13476,0.00803211,0.00801894,0.00801894
4,3921.45,1.30801,0.61991,1.08329,0.49063,0.50541,0.4136,0.22365,1.38309,2.245,1.12164,0.00703,0.00703,0.00703
5,4880.87,1.27811,0.59832,1.06923,0.52021,0.52101,0.44954,0.25265,1.36372,2.08146,1.10606,0.00604,0.00604,0.00604
6,5842.99,1.25349,0.57962,1.05791,0.565,0.54776,0.45713,0.26457,1.32749,2.11982,1.08629,0.00505,0.00505,0.00505
7,6806.32,1.2333,0.56678,1.05081,0.54038,0.54035,0.47292,0.26851,1.35194,1.75838,1.08867,0.00406,0.00406,0.00406
8,7769.14,1.20922,0.54935,1.04101,0.53852,0.55013,0.45433,0.26078,1.3155,2.10488,1.07672,0.00307,0.00307,0.00307
9,8729.61,1.19009,0.53759,1.03419,0.54786,0.56393,0.46172,0.26528,1.32069,2.19033,1.07764,0.00208,0.00208,0.00208
10,9689.98,1.16317,0.51861,1.02185,0.56415,0.557,0.45718,0.26211,1.31782,2.32841,1.07777,0.00109,0.00109,0.00109
