frame,sideline_top_left,big_rect_left_top_pt1,big_rect_left_top_pt2,big_rect_left_bottom_pt1,big_rect_left_bottom_pt2,small_rect_left_top_pt1,small_rect_left_top_pt2,small_rect_left_bottom_pt1,small_rect_left_bottom_pt2,sideline_bottom_left,left_semicircle_right,center_line_top,center_line_bottom,center_circle_top,center_circle_bottom,field_center,sideline_top_right,big_rect_right_top_pt1,big_rect_right_top_pt2,big_rect_right_bottom_pt1,big_rect_right_bottom_pt2,small_rect_right_top_pt1,small_rect_right_top_pt2,small_rect_right_bottom_pt1,small_rect_right_bottom_pt2,sideline_bottom_right,right_semicircle_left,center_circle_left,center_circle_right
00000,431.47865216690974,308.8034183363663,561.7661319047033,540.357897189148,617.6974571412932,322.98570968199203,340.5743113555433,661.1556902627086,558.6986976567368,606.889264973213,501.09707796446133,377.7865130850559,729.7728035406135,321.6164296105941,810.225326876536,558.6097046748337,5.7599282116455015,4.095298038326714,5.340263328146173,1013.046079711649,1071.667031003133,4.893395178681812,7.124875302999584,1002.6986565257243,1010.4332186785994,661.6565596831576,25.069649869753185,429.6427059543526,488.8498877557385
00001,488.7993756954867,434.084795863829,820.3489725793208,568.7902330758003,983.8793580577485,440.3686589868504,516.4798460639574,546.0438854586196,608.0416500294341,597.3827502423719,902.1994462872269,477.98075763899277,786.0315122004592,488.0927530554151,759.2542463681233,629.6756279808872,21.89537644233793,20.10065742136427,1.3128897298552624,1061.6380482646814,6.913138892464191,21.548516130327144,4.196053312560365,1029.861955726607,10.639267684172049,589.2859855919958,3.440712131890282,410.3302253501388,904.887981452158
00002,179.4136286303792,174.63014339974885,342.8016373156414,333.24596885006616,589.8409905621389,244.4972118347374,266.96871100857624,473.4702693055237,470.9964754902274,505.23244808469894,345.0938626227285,261.0797338273572,532.7364623827801,222.55789048122597,541.7384880235967,375.3567270713207,14.461101726135347,4.225473810993482,190.2838134765625,1009.0256359362193,9.00269716721982,3.175877657233667,2.5883778211569783,2.953935720081353,17.973780918642184,614.6130038187138,13.898269655881023,224.58448747318454,294.89325883216395
00003,76.4335838953277,143.83653259277344,486.8168969978073,538.9647943553645,1101.4535850411492,211.67346378050172,343.53007307862146,419.76533390668305,651.3404417166022,536.3633730030136,692.8149632614457,199.36794593284043,633.6992151866764,228.13788571225956,537.593935837917,386.59245973591834,4.728487879474443,8.05327080093252,147.32464599609375,1101.4535850411492,540.0,1.93557500915638,6.410868224387771,10.982780938667608,3.5270483393294367,649.1662110069643,322.5657958984375,290.8233947753906,661.9123748742728
00004,476.674191548732,340.5699679512422,606.0715950356213,561.1642477910433,618.8429983819872,338.8030298933815,362.62380377338127,673.0167694046344,560.3110947586872,609.0868648763658,539.468975113348,399.6971013813727,752.7448045746172,346.3995858605355,845.986316530866,589.2239673083598,4.788766425404818,3.0849689831869602,2.5373795873085268,1014.2329493297683,1076.8953307890808,6.257994982366344,6.237558592499011,1005.0591682954881,1013.9150606284918,650.5576223278995,2.469368621697912,471.55340648064305,527.3861206689911
00005,200.8637769691626,160.96264716432466,358.7886510675957,353.72373772785045,565.461024119089,235.08771618611905,246.0898993586286,492.57247872724093,474.4188500326436,502.4275932642207,325.2299896866547,262.12300697113193,541.5563947016292,203.1372185372767,563.545434533074,379.6214843169045,12.706677887392608,3.973889689754087,152.44967651367188,996.9931551861372,14.87322558531183,9.122752747567937,1.2712140159244325,8.859799017692508,0.7469525529791533,609.2335373359556,21.518362557533443,218.35281478894055,302.45760741191606
00006,1.4749410587695995,3.2572048371912277,54.22097492461433,370.0125732421875,540.0,0.12371102442732765,8.289778748962101,326.6736145019531,4.471191284862109,613.1748120912415,14.598843786075744,510.8474799203398,632.0458903196092,554.0473781591355,480.72043615777915,515.5422122255595,693.4588149253927,795.693291619232,537.0545360336712,521.0813050396994,640.8603927580891,703.7581128964492,782.739350114878,401.75101990426174,577.4412552988201,662.6819152410634,804.6014980972618,677.213173149979,741.9593738898662
00007,145.46045681518802,173.75391831120265,343.41827409499143,320.0873039270503,620.2885362792061,224.87625729633245,267.05196313076743,490.40954050375865,463.2705873474192,540.2270758941455,379.3620637684591,237.22519258549465,565.2704972198367,217.51564222190117,583.0767388400602,376.11705183683296,12.43110100123362,3.0122180007821022,222.1831512451172,1023.9992973085544,982.3889865097782,2.953380334428416,3.073461037419053,7.9370243570431915,4.299958120082091,634.7425284663952,22.395692173823253,230.98421617835476,282.7512423954227
00008,152.6303340019051,211.1282958984375,547.7866196366928,568.8607885341512,1101.4535850411492,271.8178547959839,369.48591815563447,465.7472949979548,651.7304255049984,534.3790732305042,723.3816842427232,241.56359246002629,641.2619690639193,279.9234779766426,579.9749904579129,429.6744717826995,5.406484353042037,4.5684860226710375,210.3761371996637,1101.4535850411492,540.0768892786742,2.532897025038454,3.163064500649843,11.4942333717803,1.3890742518710386,639.679922791854,355.2239074707031,343.6131286621094,688.6151504350935
00009,597.0271606445312,428.42233348368165,787.6020836663678,371.57341514798236,429.7846104630015,319.33714399905494,396.0091705377401,447.2688799617129,381.2625957628176,543.8684853853882,614.743263190315,466.387939453125,639.7888438790139,408.06281248093364,739.1561354663992,580.4970474253863,593.3959350585938,752.7645999068059,413.10314990345995,784.2717765582275,861.3051858727949,861.8989116289672,797.6625443270382,821.6215528405702,779.642699054513,570.163422115482,40.73483772868523,552.6358633595886,653.0333921384636
