keypoint_name,rmse
sideline_top_left,36.61253687757724
big_rect_left_top_pt1,31.362783524429105
big_rect_left_top_pt2,90.3953394741288
big_rect_left_bottom_pt1,62.29888647034214
big_rect_left_bottom_pt2,33.007139873520224
small_rect_left_top_pt1,52.06508415669328
small_rect_left_top_pt2,46.31563309179687
small_rect_left_bottom_pt1,59.31786951495145
small_rect_left_bottom_pt2,57.00756648774656
sideline_bottom_left,352.54876069325167
left_semicircle_right,88.83667036823925
center_line_top,188.21702496283783
center_line_bottom,243.28093524372838
center_circle_top,140.07462851532253
center_circle_bottom,140.8747227000763
field_center,96.70945846571314
sideline_top_right,19.634895009906753
big_rect_right_top_pt1,19.773576776728614
big_rect_right_top_pt2,59.86551837969971
big_rect_right_bottom_pt1,77.03288386638673
big_rect_right_bottom_pt2,39.17212267866605
small_rect_right_top_pt1,40.55826344869845
small_rect_right_top_pt2,41.590060674116714
small_rect_right_bottom_pt1,55.016442616964454
small_rect_right_bottom_pt2,56.39163897683852
sideline_bottom_right,372.8177066889938
right_semicircle_left,67.29783360210916
center_circle_left,139.96455618486863
center_circle_right,157.80743887542417
