epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,3489.39,0.20087,4.87376,0.30008,0.19411,0.9192,0.98526,0.98319,0.98887,0.96773,0.71483,0.6377,0.58846,0.43937,0.24814,4.24165,0.32978,0.33203,0.57622,0.004852,0.004852,0.004852
28,3617.86,0.20075,4.82444,0.29659,0.19262,0.92256,0.98352,0.98462,0.98867,0.96437,0.71366,0.63877,0.5754,0.43449,0.25427,4.23533,0.32846,0.31744,0.57744,0.004654,0.004654,0.004654
29,3746.13,0.2005,4.80122,0.29706,0.19211,0.919,0.98673,0.98372,0.98866,0.96706,0.71884,0.63662,0.58143,0.43647,0.24759,4.20787,0.32638,0.34965,0.57308,0.004456,0.004456,0.004456
30,3874.91,0.19632,4.80002,0.29458,0.18946,0.91716,0.98759,0.98176,0.98893,0.96787,0.71088,0.63698,0.59451,0.45038,0.24962,4.19397,0.32409,0.38847,0.57747,0.004258,0.004258,0.004258
31,4003.99,0.19685,4.73044,0.295,0.18895,0.91652,0.9825,0.98369,0.98847,0.96585,0.6971,0.64284,0.58027,0.44212,0.25187,4.13996,0.32212,0.36349,0.57757,0.00406,0.00406,0.00406
32,4133.45,0.195,4.68387,0.29279,0.18946,0.91869,0.98743,0.98317,0.98865,0.96645,0.7111,0.63805,0.57815,0.44423,0.23735,4.12724,0.3207,0.28876,0.56259,0.003862,0.003862,0.003862
33,4262.04,0.19076,4.64806,0.29087,0.18563,0.91613,0.98497,0.98447,0.98866,0.967,0.7117,0.63922,0.57946,0.44016,0.24445,4.09703,0.31926,0.36019,0.56868,0.003664,0.003664,0.003664
34,4390.13,0.18823,4.64172,0.29221,0.18478,0.91333,0.98213,0.98605,0.98894,0.96825,0.70897,0.64235,0.58346,0.4448,0.23907,4.08224,0.31873,0.34279,0.56485,0.003466,0.003466,0.003466
35,4518.54,0.18877,4.55332,0.28956,0.18493,0.91795,0.98163,0.98677,0.98928,0.96894,0.71424,0.64199,0.58378,0.44111,0.23635,4.06029,0.31731,0.30908,0.55932,0.003268,0.003268,0.003268
36,4647.15,0.18538,4.52074,0.28822,0.18171,0.91232,0.98465,0.98355,0.98923,0.9686,0.71893,0.64378,0.58261,0.4449,0.24073,4.03936,0.31559,0.35605,0.56364,0.00307,0.00307,0.00307
37,4775.44,0.18339,4.50321,0.28774,0.17882,0.91267,0.98509,0.98677,0.9888,0.96817,0.7168,0.64056,0.58832,0.4497,0.2344,4.03535,0.31441,0.32978,0.55943,0.002872,0.002872,0.002872
38,4903.83,0.18355,4.44249,0.28575,0.18046,0.91439,0.98744,0.98388,0.98905,0.96915,0.71699,0.64557,0.57817,0.43793,0.22919,4.00207,0.31193,0.31225,0.55681,0.002674,0.002674,0.002674
39,5032.27,0.18127,4.40976,0.28371,0.17825,0.91041,0.98462,0.98454,0.98899,0.96878,0.71622,0.64735,0.57909,0.44113,0.22665,3.97757,0.31101,0.31314,0.55089,0.002476,0.002476,0.002476
40,5160.57,0.17471,4.33199,0.28156,0.17466,0.9113,0.98347,0.98569,0.98891,0.96999,0.71848,0.64442,0.57992,0.44584,0.22289,3.96306,0.31093,0.31404,0.54955,0.002278,0.002278,0.002278
41,5290.71,0.14572,4.07526,0.30319,0.14261,0.89272,0.98326,0.98713,0.98894,0.97082,0.72237,0.64342,0.58875,0.45128,0.22575,3.95855,0.30638,0.31105,0.55019,0.00208,0.00208,0.00208
42,5419.05,0.14207,3.98967,0.29961,0.13625,0.89162,0.98251,0.98442,0.98942,0.97211,0.71959,0.64798,0.58862,0.45206,0.22848,3.92141,0.30224,0.33423,0.55194,0.001882,0.001882,0.001882
43,5547.19,0.13993,3.95207,0.29634,0.13536,0.88853,0.9832,0.9838,0.98988,0.97234,0.71975,0.64628,0.59628,0.46263,0.22812,3.89959,0.29985,0.34356,0.55269,0.001684,0.001684,0.001684
44,5675.46,0.13808,3.90399,0.29399,0.13363,0.88847,0.98618,0.98104,0.99009,0.97344,0.71713,0.647,0.59773,0.46525,0.22658,3.8754,0.29845,0.35276,0.55213,0.001486,0.001486,0.001486
45,5804.18,0.13413,3.85391,0.29275,0.13077,0.88856,0.98386,0.98462,0.99072,0.97452,0.7139,0.64735,0.59578,0.46458,0.22483,3.8678,0.29657,0.35408,0.54805,0.001288,0.001288,0.001288
46,5932.53,0.12993,3.82701,0.29174,0.12842,0.88337,0.98427,0.98482,0.99045,0.97396,0.71579,0.65021,0.59651,0.46327,0.22141,3.84852,0.29573,0.35045,0.54348,0.00109,0.00109,0.00109
47,6060.38,0.13059,3.76896,0.28975,0.12629,0.88715,0.98697,0.98355,0.99053,0.97326,0.718,0.64914,0.59333,0.45906,0.22092,3.82659,0.29471,0.34271,0.54445,0.000892,0.000892,0.000892
48,6188.16,0.12625,3.72782,0.28964,0.12491,0.88431,0.98538,0.98462,0.99057,0.97313,0.71859,0.65208,0.5937,0.45935,0.22073,3.8099,0.29373,0.33973,0.54419,0.000694,0.000694,0.000694
49,6316.22,0.12511,3.68889,0.28951,0.12336,0.88224,0.9857,0.98631,0.99081,0.97366,0.71921,0.65093,0.59502,0.46206,0.21935,3.79936,0.29304,0.33319,0.54273,0.000496,0.000496,0.000496
50,6445.24,0.12275,3.63604,0.28728,0.1212,0.88219,0.9871,0.98503,0.99109,0.97437,0.71745,0.65093,0.5952,0.46201,0.21722,3.79355,0.29254,0.31862,0.54008,0.000298,0.000298,0.000298
