frame,L_GOAL_TL_POST,L_GOAL_TR_POST,L_GOAL_BL_POST,L_GOAL_BR_POST,L_GOAL_AREA_BR_CORNER,L_GOAL_AREA_TR_CORNER,L_GOAL_AREA_BL_CORNER,L_GOAL_AREA_TL_CORNER,L_PENALTY_AREA_BR_CORNER,L_PENALTY_AREA_TR_CORNER,L_PENALTY_AREA_BL_CORNER,L_PENALTY_AREA_TL_CORNER,BL_PITCH_CORNER,TL_PITCH_CORNER,B_TOUCH_AND_HALFWAY_LINES_INTERSECTION,T_TOUCH_AND_HALFWAY_LINES_INTERSECTION,R_PENALTY_AREA_BL_CORNER,R_PENALTY_AREA_TL_CORNER,R_PENALTY_AREA_BR_CORNER,R_PENALTY_AREA_TR_CORNER,R_GOAL_AREA_BL_CORNER,R_GOAL_AREA_TL_CORNER,R_GOAL_AREA_BR_CORNER,R_GOAL_AREA_TR_CORNER,R_GOAL_TL_POST,R_GOAL_TR_POST,R_GOAL_BL_POST,R_GOAL_BR_POST,BR_PITCH_CORNER,TR_PITCH_CORNER,CENTER_CIRCLE_TANGENT_TR,CENTER_CIRCLE_TANGENT_TL,CENTER_CIRCLE_TANGENT_BR,CENTER_CIRCLE_TANGENT_BL,CENTER_CIRCLE_TR,CENTER_CIRCLE_TL,CENTER_CIRCLE_BR,CENTER_CIRCLE_BL,CENTER_CIRCLE_R,CENTER_CIRCLE_L,T_HALFWAY_LINE_AND_CENTER_CIRCLE_INTERSECTION,B_HALFWAY_LINE_AND_CENTER_CIRCLE_INTERSECTION,CENTER_MARK,LEFT_CIRCLE_R,BL_16M_LINE_AND_PENALTY_ARC_INTERSECTION,TL_16M_LINE_AND_PENALTY_ARC_INTERSECTION,LEFT_CIRCLE_TANGENT_T,LEFT_CIRCLE_TANGENT_B,L_PENALTY_MARK,L_MIDDLE_PENALTY,RIGHT_CIRCLE_L,BR_16M_LINE_AND_PENALTY_ARC_INTERSECTION,TR_16M_LINE_AND_PENALTY_ARC_INTERSECTION,RIGHT_CIRCLE_TANGENT_T,RIGHT_CIRCLE_TANGENT_B,R_PENALTY_MARK,R_MIDDLE_PENALTY
00000,282.0311283446582,286.37547421100015,330.8566872645668,321.0742791415861,313.5166093339426,346.15423500140037,275.08231238454454,307.9917438447491,467.90240478515625,639.8012115086276,332.43630431454056,383.9531035171506,522.7169448068163,500.19962499605685,536.1688800306841,535.7612930853672,1073.9870376832305,1.760761691740694,1022.7233503502378,3.4594498541494563,1010.7996190058219,4.261831923072132,1002.9659426957029,2.263114864488554,2.3719986264987996,977.950863046413,1.8858482976673692,994.8300368432945,528.6954874079184,1.2815992803954976,524.5192717310417,481.5334194296907,480.72235187875725,514.4432314451514,537.7770459492966,476.56360070991843,513.1035494201457,533.0821205780794,504.7603872964527,501.29151621354254,392.0489401242118,728.1180989147684,391.56020360246254,495.7583707068588,414.0432639712544,512.5316237467421,514.3334582382366,478.7024833343609,386.1527635551896,455.8475830650263,1.4511048006500629,1.0193560683479195,3.592789364562838,1.9452297746965164,2.5141853459211956,8.028188264054728,5.5961661791503845
00001,344.7603241745621,267.31467483087,407.680809087441,330.83273601366443,418.85315149646055,275.4929544343967,405.33894815594334,267.23364191770105,616.916570813479,391.2122531274382,575.9754477718651,213.10448812121817,564.680913630216,173.90951333784813,581.4422694236173,565.1974746771441,4.778023358072001,0.8436538311434301,205.83557691406253,2.8795568248563965,7.164501884475485,5.529528477625597,1027.7910151606666,2.0137359724998167,979.7265993953856,989.1203226753563,999.4358345002668,1013.8406659918305,569.7833410759939,3.3163931437785013,496.48271880101044,478.4373098485558,490.2102329460526,467.3251565737523,454.1104130532125,542.4731841063762,519.3578305704287,528.17374994748,504.280743150303,462.97925473971225,344.15090994793314,807.0961465616124,375.52616716117785,504.6541318913288,497.90902919808764,416.43062608095767,497.8980802989315,508.43327553573926,393.05937205993393,456.3930228311381,0.16716326924605054,0.6266652267042679,3.1440426245235913,1.1522111115987452,1.338388509866341,2.780699193717408,0.4801848164094054
00002,483.08765498029004,467.6708051675653,505.25939992585734,497.1799748087782,387.50806316868074,423.8097256921264,409.3130777517463,474.73155433810183,409.41316101146106,446.72597390000396,411.2014985692719,480.49149236568826,518.9504625940068,490.03430944660124,538.9591696956128,537.6694463451737,3.434514560636483,190.09576416015625,1014.6668934193874,2.0502802081647586,0.28351272351692314,4.236257439862804,3.423805568217876,3.1432213101945896,3.8750404402490846,2.6124223083508493,4.372738727194743,0.9193570860238026,553.0124667132642,11.130725860255168,366.48666546446776,326.4961593470875,343.7871027063736,390.6353114084008,398.42661173764554,326.4383730590127,383.8833361325075,403.7600629984337,350.9884220221356,361.2562038833226,399.9233794483653,563.4388232952956,368.027004746853,359.87886546051857,371.1721425107194,373.2242691078503,366.3244497638512,360.78369642859167,377.74397548488395,352.9530677627799,5.745999857476175,8.102391990401772,2.0179743492260003,7.258966814781041,4.819715426494112,4.128975972960548,1.588402824439468
00003,603.5460353743973,565.6503954649442,646.1182087315757,627.1360570097048,742.0045230719205,537.9265330618375,582.3205464992271,526.8981436219103,743.3473917646259,243.0722968718761,658.1678694882743,410.60369071323487,555.0018555193595,298.66592419038784,585.5816186282746,576.655372670327,540.0,139.87347412109375,1101.4535850411492,6.603338772404763,5.280605578404822,1.8890023239756493,8.031075037100608,2.3795579108827196,1.6037137809956272,3.4887861419996984,2.4529567101021645,3.695105656560808,603.0746789009282,4.744631281319245,290.01006352171555,309.3230954116581,347.28500960503527,407.7042292022008,305.3660617068667,358.4176459349,404.05770528434095,394.6802053694032,304.21129479682503,327.31324241886426,409.7611350960982,652.8975520132703,404.82870328678604,328.10757549419833,533.5497950072933,290.32538312998685,312.5256066764768,361.4875337590486,552.42083499527,368.2384614554142,303.323974609375,389.15032958984375,235.58584594726562,287.44696044921875,323.80084228515625,10.192744067699362,305.01953125
00004,258.81500500836825,264.75452243150534,315.41667421863383,305.4174048721678,328.77225203284996,348.1487180504101,271.75064078888255,296.63493731249645,485.80926513671875,677.1314274384106,330.5087700061935,377.1873884238974,523.2706549660875,506.40660238183847,535.4499233091884,535.5928720010749,1080.5415666870733,4.11425268604794,1025.9510835037172,3.6895652532648757,1015.5870400937993,0.6791356483264923,1006.9435459509765,4.5121315599167815,2.982675914991903,980.8466107991543,4.530420037658938,998.4941994968917,525.4167541447146,2.86828387550838,554.446504763958,515.3644887888066,512.9859782307792,544.6273350067107,564.0627636583355,510.0121268443363,542.3413170784432,561.5336663812077,536.749121916821,533.4053086419202,397.66738774377643,761.782843406205,402.1983394006555,532.4323788303741,435.8731009495573,545.5714064214321,551.6493723274323,514.1736560349113,399.6530125450973,485.69822222560174,1.8814298050775666,5.835307971116585,5.556322639701883,2.8713528922978133,2.2943359639989414,1.5930983956767455,1.3050974589616178
00005,447.0566610508606,424.6224379177871,466.5716708145464,446.09911156766134,341.4315976328796,381.6775540144884,377.2122870666589,421.4504729008579,367.6236295610942,450.388597358841,385.32998953076475,441.47035384632414,518.8278587076007,468.9151067563249,539.8013530525197,538.8973782197945,5.937362901642668,150.50540161132812,1002.3842159654187,2.498667989667333,3.272162383970227,0.7770929186401048,2.5961156737488915,6.275365335378127,4.82327750208026,3.1327348862551783,4.146080298617913,2.569032481295149,548.7783904282699,12.378674056447927,368.23734288505244,323.1946870169924,331.6951983467137,377.9100550269189,400.1967506481988,323.67922928845894,374.25472186821935,395.80661939267867,346.45042196126263,351.64203996657693,375.98043593944584,562.1430251560721,344.0850409843022,336.98127926748344,334.2896888903405,362.3559427437086,346.7267401719564,333.3194539950831,347.4691852023109,332.5035991076092,4.015049946152361,7.905132351156462,2.1485935448086413,6.043413864274328,1.7025631175525924,2.58687826047673,0.3394150912806013
00006,5.129646498390971,5.81174482698194,4.467277407992715,4.678771989714613,4.978163638487668,1.8976256447566222,325.9366455078125,2.1193285852535286,535.9291000930339,8.852921206129299,383.7518005371094,1.7884068648687839,565.8044753487201,4.426648693203218,573.9261276117151,580.3005771558061,1077.5576762149635,517.8374501509071,797.0990194453094,546.7680156301408,836.0178907601345,611.1745037461226,789.8388181799655,604.5442804554187,567.1354564494147,663.9961087364035,596.7434831945949,688.7165868879148,577.4120347914418,457.3568072543225,644.3803624833787,630.8432777799575,630.8265677325376,705.6402174393817,614.3716207458854,601.6094290604274,654.9510642172412,666.3333352564175,643.2626898018837,676.0339054155531,500.57575401559603,675.9459222749038,499.76041725212554,2.6173941332479544,8.19482166184162,3.416847411836815,1.429248977277132,2.183697577289276,0.7437002591795571,1.0876185073017652,763.3169587321347,893.7797167374721,647.1328733390746,741.7267658300042,784.881868658019,756.7368491425121,740.0341183051652
00007,470.06700564697525,466.98182396722643,499.8594587880316,510.46655630295163,393.4117596258147,441.4968628048971,385.83364725995517,490.3667586679277,494.1046142578125,471.3016587904634,386.7615264461824,497.5215327336115,547.53374547871,513.9044853338318,566.8458514440512,571.1131073798373,966.1304835237272,218.419189453125,1034.4491552318239,0.24557927231273124,2.6427747232953145,0.6799912365986098,3.0961885614885825,3.0416041057122563,2.342947700978686,2.9591949864491913,0.5842478995264501,2.59526506401817,582.0756057585235,13.239103479152856,382.1084866876983,343.1953025836972,373.1457485759359,424.2859405110982,408.76857696293274,336.8213822900037,406.38909038803195,426.48241665305153,374.2729614108213,387.7098724573156,401.111796482943,607.1308597307161,374.6550101170628,398.7915628901065,419.2717796458881,390.02859248136366,401.2976945502764,405.6081019485439,394.42906783672584,379.6880699169884,13.581150713027938,0.9189230420071199,22.457079510978556,14.967890546827414,12.662706306067125,1.3638186816960178,9.552753918897947
00008,612.8978267782671,566.1680781178773,656.6011973637013,630.9939325014614,708.179935232003,504.12342766348286,609.4699114118482,523.4945291825851,704.8455269350611,282.67207143219525,694.7559355614998,408.00443568799017,558.6539605768129,301.9161870350434,584.9848000809911,572.4556154485174,540.8114731162225,206.44754372628944,1101.4535850411492,4.071681046379723,4.20190810017631,3.193556372554671,5.290674495034809,1.293063459239474,2.173736096603104,5.200620494853822,1.7371939154394078,6.0368824980091444,599.1708304046876,7.448586638269421,342.5776616054096,356.77141150853635,391.0312716033276,433.334416417397,346.4593059430891,404.14932392154725,436.50614910477873,428.3201136560216,356.67696439257577,371.36685791978175,415.01638600467993,681.6198344045221,412.4780185296861,372.7346562253795,525.1372231029366,324.66713706586387,360.22859435149763,399.8021430974056,517.2427565736497,392.6073526134878,347.56866455078125,421.18900749379003,289.4586402246927,333.3033752441406,364.2095642089844,5.705385222648713,348.7499989183172
00009,399.74920689619904,352.62555355733235,417.89518872313107,393.2766555139555,370.1635998239579,476.02890474508115,341.24148922759423,426.28506405232235,433.87859785144894,594.9067058183168,412.93219720472973,399.9280897351081,553.6081154074783,483.42795793792186,569.5191278033894,572.081091522402,921.7970689409135,525.1379317604227,566.4879676094109,676.937311322441,697.3485497619283,667.4470435457941,711.444980023142,698.4425719510011,247.32580715437726,395.9567015891602,312.85333529864306,442.55263373527407,544.4375647320568,539.1049899062444,641.012437230475,518.644660749104,510.6031825203392,646.1542145543464,736.464099238241,421.1493570080647,419.30941786997755,646.8388745968143,578.8174826845379,583.4446578279991,374.8946533203125,771.3390703959237,578.535400390625,607.837203467788,393.6552018094972,594.1511510269869,551.9055979149933,665.348651767889,648.5699062472648,618.6393669867888,430.7852892350432,21.562724179726136,223.06347403654829,381.41673038373443,554.0852630924383,248.7858340362281,383.404706694523
