keypoint_name,rmse
L_GOAL_TL_POST,68.7057435494684
L_GOAL_TR_POST,43.18744165018805
L_GOAL_BL_POST,55.925257790376534
L_GOAL_BR_POST,40.532670645699184
L_GOAL_AREA_BR_CORNER,67.2616122716511
L_GOAL_AREA_TR_CORNER,47.444326528447995
L_GOAL_AREA_BL_CORNER,72.02242494958048
L_GOAL_AREA_TL_CORNER,46.51029799441351
L_PENALTY_AREA_BR_CORNER,33.7822944353608
L_PENALTY_AREA_TR_CORNER,57.32780918267721
L_PENALTY_AREA_BL_CORNER,59.4985320928498
L_PENALTY_AREA_TL_CORNER,16.579212565291005
BL_PITCH_CORNER,352.99474533377474
TL_PITCH_CORNER,13.940605767355297
B_TOUCH_AND_HALFWAY_LINES_INTERSECTION,344.7271373028376
T_TOUCH_AND_HALFWAY_LINES_INTERSECTION,374.4049754305532
R_PENALTY_AREA_BL_CORNER,37.3026387825991
R_PENALTY_AREA_TL_CORNER,48.87270217089885
R_PENALTY_AREA_BR_CORNER,64.06040052688024
R_PENALTY_AREA_TR_CORNER,13.172150631811185
R_GOAL_AREA_BL_CORNER,66.07694569891605
R_GOAL_AREA_TL_CORNER,41.36589425261313
R_GOAL_AREA_BR_CORNER,59.41173785268131
R_GOAL_AREA_TR_CORNER,38.15810076537874
R_GOAL_TL_POST,38.732355273168125
R_GOAL_TR_POST,62.52039853040654
R_GOAL_BL_POST,37.97646286882425
R_GOAL_BR_POST,55.92940846106278
BR_PITCH_CORNER,445.62919493488226
TR_PITCH_CORNER,10.813450546402452
CENTER_CIRCLE_TANGENT_TR,231.18702984190355
CENTER_CIRCLE_TANGENT_TL,217.860303109183
CENTER_CIRCLE_TANGENT_BR,228.89515557941445
CENTER_CIRCLE_TANGENT_BL,216.6744606792017
CENTER_CIRCLE_TR,239.60479780066572
CENTER_CIRCLE_TL,218.1161536076878
CENTER_CIRCLE_BR,249.10896803952903
CENTER_CIRCLE_BL,234.76998294412874
CENTER_CIRCLE_R,228.28303043771413
CENTER_CIRCLE_L,211.70318214140738
T_HALFWAY_LINE_AND_CENTER_CIRCLE_INTERSECTION,250.78206608366844
B_HALFWAY_LINE_AND_CENTER_CIRCLE_INTERSECTION,252.24708087819678
CENTER_MARK,225.38304944450783
LEFT_CIRCLE_R,89.4117485617902
BL_16M_LINE_AND_PENALTY_ARC_INTERSECTION,109.87146133684988
TL_16M_LINE_AND_PENALTY_ARC_INTERSECTION,112.3571223542655
LEFT_CIRCLE_TANGENT_T,91.69897815789173
LEFT_CIRCLE_TANGENT_B,87.33549490116127
L_PENALTY_MARK,66.38800661484288
L_MIDDLE_PENALTY,72.0365897513642
RIGHT_CIRCLE_L,88.52194920915146
BR_16M_LINE_AND_PENALTY_ARC_INTERSECTION,85.65382973760627
TR_16M_LINE_AND_PENALTY_ARC_INTERSECTION,97.24678901199987
RIGHT_CIRCLE_TANGENT_T,85.69140282848834
RIGHT_CIRCLE_TANGENT_B,87.55598065363554
R_PENALTY_MARK,77.91255258824103
R_MIDDLE_PENALTY,74.41436084957046
