epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,2869.8,0.23932,3.40056,0.21202,0.22215,0.94385,0.98355,0.9835,0.98849,0.96024,0.8018,0.7162,0.69582,0.55428,inf,3.21632,0.22706,0.36788,0.62318,0.004852,0.004852,0.004852
28,2978.44,0.23762,3.37135,0.21045,0.21922,0.94103,0.98145,0.98411,0.98827,0.95792,0.79267,0.71817,0.65948,0.52538,0.28491,3.2086,0.22291,0.36077,0.61458,0.004654,0.004654,0.004654
29,3088.51,0.2306,3.27293,0.2097,0.2175,0.93543,0.98512,0.98104,0.98879,0.96055,0.79779,0.71745,0.68699,0.55496,0.28855,3.18587,0.22127,0.36259,0.61816,0.004456,0.004456,0.004456
30,3196.67,0.22931,3.27511,0.20876,0.21435,0.93599,0.98671,0.9824,0.98886,0.96078,0.80176,0.71025,0.67748,0.55051,0.28439,3.13278,0.22132,0.36876,0.60673,0.004258,0.004258,0.004258
31,3305.44,0.23128,3.2471,0.20608,0.21637,0.93627,0.98399,0.97997,0.98815,0.96018,0.79963,0.7196,0.6805,0.55626,0.28924,3.11651,0.21905,0.37619,0.62094,0.00406,0.00406,0.00406
32,3413.81,0.223,3.13778,0.20549,0.21104,0.93376,0.98414,0.98069,0.9888,0.96042,0.80169,0.71888,0.67745,0.555,0.2803,3.09189,0.21927,0.37614,0.61241,0.003862,0.003862,0.003862
33,3521.9,0.22402,3.13717,0.20406,0.21172,0.93668,0.98137,0.98212,0.98872,0.96185,0.80666,0.72225,0.68951,0.56389,0.27965,3.05027,0.21618,0.36493,0.60578,0.003664,0.003664,0.003664
34,3631.04,0.22042,3.04481,0.20213,0.20956,0.93233,0.98672,0.98426,0.98891,0.9593,0.80091,0.72175,0.67876,0.55543,0.28536,3.0663,0.2157,0.37063,0.6169,0.003466,0.003466,0.003466
35,3739.6,0.21685,3.02555,0.19962,0.20599,0.92979,0.98389,0.98267,0.98891,0.96115,0.80052,0.72139,0.68416,0.5646,0.2808,2.99438,0.21566,0.37145,0.61141,0.003268,0.003268,0.003268
36,3848.56,0.21656,2.99161,0.20183,0.20375,0.92965,0.9849,0.98283,0.98872,0.96014,0.8087,0.72496,0.6918,0.57218,0.28014,2.97155,0.21311,0.38188,0.60375,0.00307,0.00307,0.00307
