epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,892.283,1.46979,0.73117,0.96759,0.74029,0.61123,0.63424,0.34514,1.41235,0.69377,0.92849,0.0700036,0.00333294,0.00333294
2,1769.78,1.37567,0.65477,0.94181,0.74714,0.64405,0.66101,0.374,1.35251,0.61954,0.91589,0.0393436,0.00600631,0.00600631
3,2643.93,1.3292,0.62147,0.9296,0.77969,0.65984,0.67827,0.3936,1.30527,0.5954,0.90437,0.00802363,0.00801968,0.00801968
4,3513.84,1.29196,0.59391,0.92092,0.76942,0.66954,0.68755,0.40097,1.28967,0.57566,0.90026,0.00703,0.00703,0.00703
5,4383.46,1.26179,0.57371,0.91351,0.79345,0.67372,0.69387,0.40527,1.282,0.55555,0.89853,0.00604,0.00604,0.00604
6,5254.93,1.23302,0.55974,0.90684,0.78712,0.67374,0.69084,0.40563,1.2808,0.54674,0.89768,0.00505,0.00505,0.00505
7,6126.66,1.21314,0.54792,0.90157,0.78304,0.67838,0.69529,0.40897,1.26866,0.53938,0.89591,0.00406,0.00406,0.00406
8,6994.69,1.19084,0.53493,0.89706,0.79205,0.67849,0.69915,0.4118,1.26502,0.5395,0.89325,0.00307,0.00307,0.00307
9,7865.04,1.17234,0.52377,0.89253,0.78802,0.68065,0.70017,0.41646,1.26138,0.53419,0.89241,0.00208,0.00208,0.00208
10,8733.7,1.1534,0.51183,0.88869,0.79479,0.68544,0.70351,0.41884,1.25818,0.53264,0.89212,0.00109,0.00109,0.00109
